ID,target,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131
3,1,1.335739415,8.727474436,C,3.921025748,7.915265714,2.599277808,3.176894974,0.012941466,9.999999471,0.503281468,16.43410809,6.085710761,2.866829504,11.63638689,1.355013214,8.571428544,3.670350195,0.10672043,0.148883141,18.86928294,7.730923308,XDX,-1.71613E-08,C,0.139411581,1.720818227,3.393502763,0.59012194,8.880867014,C,A,1.083033385,1.010829412,7.270146635,8.375451962,11.3265916,0.454545677,0,4.012087773,7.711453251,7.653428887,12.70758051,2.015504708,10.49833768,9.848671871,0.113560642,C,12.17173339,8.086642737,0.899420004,7.277792421,G,16.7479683,0.037096327,1.29963826,DI,3.97111848,0.529802241,10.89098353,1.588448038,15.8581516,1,0.153461079,6.363189467,18.30392501,C,9.314078805,15.23178869,17.14285743,11.78454896,F,1,1.614987984,B,D,2.23093963,7.292418303,8.571428905,E,3.000000252,7.528325745,8.861646708,0.649819923,1.299638393,1.70731688,0.866426226,9.551836324,3.321299791,0.095678364,0.905342303,A,0.442251719,5.814017711,3.517720426,0.462018705,7.436823616,5.454545452,8.877414096,1.191336661,19.47019936,8.389236894,2.757375118,4.374296138,1.57403919,0.007293816,12.57918412,E,2.38269188,3.930921973,B,0.433212909,O,,15.6349074,2.857143826,1.951219814,6.592012187,5.909091185,-6.29742E-07,1.059602616,0.803571856,8.00000009,1.989780203,0.035753685,AU,1.804125701,3.113719079,2.024285377,0,0.636364509,2.857143736
4,1,,,C,,9.191265181,,,2.301630492,,1.312909917,,6.507646778,,11.63638581,,,,,,,6.763109503,GUV,,C,3.056144003,,,,,C,A,,,3.615077499,,14.5794791,,0,,14.30576607,,,,,,2.449958914,E,,,1.379210066,,G,,1.129468547,,DY,,,,,,2,2.544736459,,,A,,,,12.05335335,F,2,,B,D,,,,D,,7.277654881,3.430691478,,,,,9.848003555,,2.678584287,,B,,,,,,,8.303966982,,,,,,,1.505334661,,B,1.825360618,4.247857873,A,,U,G,10.30804351,,,10.59535719,,,,,,,0.598895646,AF,,,1.957825011,0,,
5,1,0.94387691,5.310079201,C,4.41096869,5.326159382,3.979591894,3.928571109,0.019645131,12.66666712,0.765863972,14.75609762,6.384670031,2.505589235,9.60354169,1.984126594,5.882352541,3.170846817,0.244541009,0.144258358,17.95233238,5.245035293,FQ,-2.78505E-07,E,0.113997006,2.244897004,5.306122381,0.836005199,7.499999021,,A,1.454082164,1.734693316,4.043864454,7.959184164,12.73051667,0.259740088,0,7.37896421,13.07720103,6.173468996,12.34693874,2.926830212,8.897560561,5.343819253,0.12603458,C,12.71132769,6.836734163,0.604504083,9.637627416,F,15.10204121,0.085572857,0.765305214,AS,4.030612796,4.277455655,9.105481299,2.151360706,16.07560174,1,0.123643234,5.517948935,16.37720509,A,8.367347353,11.04046341,5.882353183,8.460653823,B,3,2.413618059,B,B,1.963970888,5.918367984,11.76470511,E,3.333334157,10.1944326,8.26619953,1.5306113,1.530612943,2.429905984,1.071429212,8.447464695,3.36734634,0.11138775,0.811446632,G,0.271480025,5.156559277,4.21494429,0.309656546,5.663265473,5.974026436,11.58885768,0.841836966,15.49132901,5.879352609,3.292788218,5.92445667,1.668400929,0.008274619,11.67057226,C,1.375753413,1.184211235,B,3.367347603,S,,11.20556132,12.94117726,3.12925255,3.478910714,6.233766792,-2.79275E-07,2.138728265,2.238806497,9.33333344,2.477595788,0.013451914,AE,1.773709016,3.922193296,1.120468418,2,0.883117534,1.176471503
6,1,0.797414556,8.304757136,C,4.225929856,11.62743842,2.09770044,1.987548751,0.171946705,8.965516321,6.542669472,16.34748257,9.646652833,3.903301961,14.09472296,1.945043576,5.517242073,3.610788992,1.224113859,0.231630426,18.37640699,7.517124739,ACUE,-4.80534E-07,D,0.14884306,1.308269118,2.303639924,8.92666215,8.87452061,C,B,1.587644213,1.666666658,8.703549728,8.898467654,11.30279542,0.433734581,0,0.28732173,11.52304473,7.931035387,12.93582325,1.47087763,12.70857384,9.670822807,0.108386927,C,12.19485463,8.59195436,3.329176471,4.780357496,H,16.62169499,0.139721167,1.178161273,BW,3.965517251,1.732102209,11.77791222,1.229245805,15.92739039,1,0.140259702,6.292979317,17.01164522,A,9.703064815,18.56812914,9.425287677,13.59472798,F,2,2.272541225,B,D,2.188197872,8.213601599,13.44827651,B,1.947260839,4.797872953,13.31581943,1.681034285,1.379310345,1.587044701,1.242816591,10.74714398,1.408045657,0.039051318,1.042425385,B,0.763924562,5.498901853,3.42394407,0.832518187,7.37547962,6.746987988,6.942002388,1.334611235,18.25635173,8.507280531,2.503054984,4.872157431,2.573664012,0.11396737,12.55427401,B,2.230753778,1.990130612,B,2.643678236,J,,13.77766638,10.57471319,1.511063316,4.949608635,7.180722073,0.565508647,1.166280799,1.956520743,7.018256156,1.812794977,0.002267384,CJ,1.415230389,2.954381266,1.990846772,1,1.677107601,1.034482853
8,1,,,C,,,,,,,1.05032836,,6.320087333,,10.99109783,,,,,,,6.414566898,HIT,,E,,,,,,,A,,,6.083150599,,,,0,,10.13891988,,,,,,,I,,,1.364535864,,H,,,,,,,,,,1,,,,C,,,,,F,1,,B,D,,,,C,,,,,,,,,,,,G,,,,,,,,,,,,,,,,C,,,A,,T,G,14.09709867,,,,,,,,,,,Z,,,,0,,
9,0,,,C,,8.856790962,,,0.359993129,,1.050327843,,6.216076966,,11.91625548,,,,,,,7.351425538,AYX,,A,0.21845833,,,,,,A,,,7.496612886,,15.49796449,,0,,7.903914911,,,,,,0.262632068,I,,,1.65358297,,K,,0.131277663,,DX,,,,,,1,0.27652397,,,A,,,,11.52116019,F,1,,B,D,,,,I,,7.978375124,3.811355614,,,,,9.618442821,,0.116390246,,G,,,,,,,8.970102978,,,,,,,0.193530452,,C,1.763765147,2.442615877,A,,D,X,15.75050179,,,8.851677056,,,,,,,0.049861164,X,,,1.536222229,0,,
12,0,0.899805658,7.312994947,C,3.494148468,9.946199717,1.926069966,1.770427462,0.066251498,5.011286982,2.341356116,16.27451004,7.711174486,5.915587527,12.14860429,1.968302745,6.601940812,2.873973888,0.484132516,0.443661326,17.22667464,6.661479154,NFD,7.81302E-07,E,0.180764708,1.070039783,1.566146974,4.393841982,7.928015332,G,A,1.619650676,2.003891907,3.964911464,8.7354077,13.96787693,0.549451214,0,0.031587291,14.78764106,7.266536119,14.44552624,1.307189522,11.76563799,9.406688958,0.110774029,C,13.25687786,8.36575894,0.133519634,6.368554836,A,16.76073576,0.097692713,1.721789118,AS,3.677042356,0.729927459,12.85875155,0.980869593,15.06789292,2,0.164415434,5.175563417,15.65594179,A,8.929960399,19.12408833,11.45631018,14.15256934,F,2,2.519063302,B,D,1.709188469,7.354084925,12.42718371,E,1.534988614,6.328158742,3.490950641,1.867705197,1.984435851,2.591876117,1.123541389,10.99954779,1.147860489,0.075958495,1.343752353,B,0.766421668,5.875068954,5.841753775,0.863300869,6.643968784,6.043956798,6.079678437,1.301880699,19.03649605,7.492827915,2.51189779,6.310835281,4.697276054,0.047703071,11.07575595,B,2.254818547,5.180922049,B,2.568094302,I,,9.010082284,8.543690318,1.349692706,12.16871898,6.593406278,1.532726962,0.846716097,2.232557952,3.476298894,1.99259417,0.083758324,BJ,3.276100191,1.62329755,2.266575147,0,2.263736395,0.970873004
21,1,,,C,,,,,,,1.83807425,,6.424482086,,12.79394467,,,,,,,7.806703719,AHBW,,D,,,,,,C,A,,,11.07750558,,,,0,,3.034513346,,,,,,,I,,,2.68212105,,C,,,,DP,,,,,,2,,,,C,,,,,F,2,,B,D,,,,C,,,,,,,,,,,,A,,,,,,,,,,,,,,,,E,,,A,,F,M,18.70561009,,,,,,,,,,,BY,,,,0,,
22,0,2.07865126,8.462618809,,3.739029774,5.265635851,1.573033473,2.30337099,0.015869212,11.11111057,4.463894022,16.05095538,8.715047083,2.348053357,12.6034034,1.58046055,6.666667135,3.052132234,0.139939233,0.18061642,17.7546034,6.034953464,GKQ,-3.64317E-07,E,0.058905675,1.647940383,3.089887982,0.75903389,8.146067796,,,1.264044962,1.348314609,6.952621094,8.089887648,12.75431373,0.975610658,0,3.168999647,12.19955151,7.078651509,11.74157291,2.038216177,10.17300032,7.936836973,0.08517581,D,12.94090688,7.921347525,1.675592194,8.851831915,H,16.55172491,0.015390712,1.179775695,AF,4.382023008,0.505051157,10.0227232,1.441946701,15.5556084,0,0.06771983,5.406642882,16.85644664,B,8.820225457,15.65656643,11.66666613,9.727713454,B,0,1.990445246,B,B,1.840990248,7.078651891,10.00000045,P,2.962963579,10.25318184,8.231173823,1.01123533,1.348313654,1.599999644,0.926967279,6.961616234,2.471910429,0.040216016,0.910867311,C,0.585039576,5.004810324,3.09411628,0.63252522,6.741572505,6.829269069,9.823609542,0.72097417,19.49494905,6.6720908,1.780246341,4.679943562,1.653404298,0.006071445,11.46097268,D,1.194402524,1.151315731,C,1.685393398,L,,12.53683496,8.333332336,1.93103364,3.419186225,7.80487723,0.518242268,1.414142373,1.27659528,8.148148069,1.875560437,0.018659499,S,1.159636761,5.582865092,1.105282678,0,1.170731128,3.333334259
23,1,1.144802376,5.880606089,C,3.244468808,9.538383667,2.500000568,1.559405338,0.412609955,9.977528753,2.363237614,16.09140096,7.417853221,4.176949458,13.79004586,2.319558419,5.900000278,2.76865181,0.812777474,0.271821571,18.41006691,8.312446984,PYF,3.95598E-08,C,0.509588196,1.168523118,1.410891306,6.908275053,9.059405421,C,A,2.060643129,2.475246641,6.498729281,9.6039611,14.65860846,0.7936511,0,0.075258377,10.80312602,8.279703571,13.26732769,1.238724943,10.29584978,12.48039776,0.343972742,I,13.98260283,8.954207744,0.993324147,6.682327089,A,16.48907198,0.232800294,1.707921735,,3.811880338,6.417391641,13.20433781,1.055074247,13.52826717,3,0.390693586,4.874554004,16.49923068,A,10.29084218,19.49565258,9.200000425,15.0527536,F,3,2.78111921,B,D,1.668671057,8.644802817,13.09999941,C,2.651685874,7.017475382,3.679444703,2.43193038,2.19059387,2.747748593,1.512995662,12.32470004,0.878712188,0.171152596,1.189656925,A,1.022954012,5.432639454,3.152513328,1.15878267,7.469059153,7.380952439,5.77273497,1.179867547,13.58260924,7.197289081,3.694347371,4.389465823,3.001608709,0.278599077,10.06420531,E,2.240590283,3.837530154,A,3.972771676,J,P,13.43412327,10.70000079,1.270490981,10.71949261,8.174603746,8.931282607,0.434781963,2.715963575,7.325842683,4.896616892,0.008943653,E,1.344550253,1.601175918,1.928009346,0,3.174602846,1.00000016
24,1,,,C,,,,,,,1.312909634,,6.527708205,,12.67087014,,,,,,,7.824359854,GEH,,E,,,,,,D,A,,,3.004666828,,,,0,,15.27096459,,,,,,,I,,,1.32345442,,E,,,,CY,,,,,,1,,,,A,,,,,F,1,,B,D,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,A,,,A,,F,X,9.140132251,,,,,,,,,,,AR,,,,0,,
27,1,,,C,,,,,,,1.028446112,,5.98776326,,10.65547486,,,,,,,5.959165851,ABQS,,D,,,,,,G,A,,,5.125236096,,,,0,,11.63157438,,,,,,,C,,,2.243415513,,A,,,,AW,,,,,,1,,,,C,,,,,F,1,,B,D,,,,E,,,,,,,,,,,,A,,,,,,,,,,,,,,,,E,,,B,,M,,13.26105418,,,,,,,,,,,AM,,,,0,,
28,0,,,C,,,,,,,1.312910874,,6.886728544,,12.30672462,,,,,,,7.457431369,QKP,,E,,,,,,,A,,,6.796169402,,,,0,,9.27573978,,,,,,,I,,,0.325728635,,H,,,,BW,,,,,,1,,,,C,,,,,F,1,,B,D,,,,C,,,,,,,,,,,,G,,,,,,,,,,,,,,,,C,,,A,,T,P,14.35919532,,,,,,,,,,,Z,,,,0,,
30,1,1.400266866,5.367204393,C,4.122154832,8.137188494,2.983080223,2.640248728,0.211851138,11.02150557,1.816192518,15.59452066,6.215175809,2.861102072,11.18582008,2.078264894,4.530387534,3.085747257,1.871509579,0.176271622,17.73572811,5.830766706,MVD,-8.93918E-07,C,0.059348594,1.608043531,3.83348168,9.602309694,7.319679837,,B,1.369101524,1.611754733,5.0907928,6.892253508,12.58774621,0.573355021,0,1.601501792,12.47883639,6.335707328,11.39358811,2.158903769,11.95801043,6.940801542,0.122971737,C,12.97218069,7.097061969,3.21913203,6.3805393,J,15.81508466,0.051092281,1.148709495,AL,3.878005897,5.67220509,7.837296771,1.469277741,14.64243341,0,0.109179167,5.416023672,16.10704093,A,8.125556169,16.11782468,9.502763049,8.806744538,F,4,2.340183379,B,D,1.869747359,6.522706139,13.59116084,B,2.204301665,6.305776872,14.60011654,1.642920073,1.095280552,1.592115473,1.095281462,8.905065968,1.674088166,0.048087655,0.826685641,G,0.437798107,4.83926669,3.461301798,0.489710412,5.788067243,6.070827286,12.01764321,1.273375766,14.30513608,4.922983454,1.204678393,4.225954247,1.805379836,0.10683569,11.13297112,C,1.569806835,1.06907867,B,2.537844706,E,,12.95485597,10.49723787,2.18978164,2.769690561,6.644181269,1.233666666,2.401812318,2.314930589,8.817203416,2.096061914,5.45906E-07,AQ,1.731656325,6.102516425,1.388116958,4,1.22091069,1.878452758
